Pulau Jawa, latitude, longitude
Kabupaten Bogor, -6.6,106.8
Kabupaten Sukabumi, -6.92405,106.922203
Kabupaten Cianjur, -6.8172531,107.1307289
Kabupaten Bandung, -6.9147444,107.6098111
Kabupaten Garut, -7.227906,107.908699
Kabupaten Tasikmalaya, -7.327954,108.214104
Kabupaten Ciamis, -7.3333333,108.35
Kabupaten Kuningan, -6.9833333,108.4833333
Kabupaten Cirebon, -6.715534,108.564003
Kabupaten Majalengka, -6.8531026,108.2258897
Kabupaten Indramayu, -6.336315,108.325104
Kabupaten Subang, -6.569361,107.752403
Kabupaten Purwakarta, -6.5386806,107.4499404
Kabupaten Karawang, -6.3227303,107.3375791
Kabupaten Bekasi, -6.2333333,107
Kabupaten Bandung Barat, -6.8937121,107.4321959
Kota Bogor, -6.6,106.8
Kota Sukabumi, -6.92405,106.922203
Kota Bandung, -6.9147444,107.6098111
Kota Cirebon, -6.715534,108.564003
Kota Bekasi, -6.2333333,107
Kota Depok, -6.39,106.83
Kota Cimahi, -6.880239,107.5355
Kota Tasikmalaya, -7.327954,108.214104
Kota Banjar, -7.3666667,108.5333333